metric,repeat4_1280,crop4_1280,delta_crop4_minus_repeat4
precision,0.85654941508221,0.8914445179057552,0.03489510282354513
recall,0.6128331798055052,0.6431750720904892,0.030341892284983962
map50,0.6365024444153841,0.6572049027882547,0.020702458372870658
map50_95,0.3569022845850235,0.36305217693214736,0.006149892347123875
