size_quartile,ground_truth,source_groups,recall_640,recall_1280,delta_1280_minus_640,bootstrap_ci_2.5,bootstrap_ci_97.5
Q1 smallest,1353,5,0.3917220990391722,0.7960088691796009,0.4042867701404287,0.2871794871794872,0.45923091340747213
Q2,1357,5,0.6352247605011054,0.7081798084008843,0.07295504789977891,-0.08765652951699465,0.19137466307277629
Q3,1367,7,0.8763716166788588,0.9290416971470373,0.05267008046817856,-0.006575010041504902,0.08029918548667538
Q4 largest,1360,6,0.9808823529411764,0.9779411764705882,-0.002941176470588225,-0.0118534482758621,0.005005541436300866
