category,ground_truth,source_groups,recall_640,recall_1280,delta_1280_minus_640,bootstrap_ci_2.5,bootstrap_ci_97.5
boat,1533,6,0.8643183300717547,0.8962818003913894,0.031963470319634646,-0.002430133657351119,0.04989039531799099
buoy,419,2,0.7708830548926014,0.8591885441527446,0.08830548926014314,0.0,0.09711286089238846
jetski,306,2,0.7320261437908496,0.8529411764705882,0.12091503267973858,0.016949152542372836,0.14574898785425106
life_saving_appliances,64,1,0.0,0.0,0.0,,
swimmer,3115,6,0.6587479935794542,0.8484751203852328,0.18972712680577852,0.03118169512818802,0.27029633751328896
