condition,images,predictions,precision,recall,map50,map50_95,target_ground_truth,target_matched_iou_0_50,target_recall_iou_0_50,uncapped_target_matched_iou_0_50,uncapped_target_recall_iou_0_50,false_positives_per_image,tiles,mean_tiles_per_image,latency_mean_ms,latency_p50_ms,latency_p95_ms,cuda_peak_memory_mib
repeat4_full,893,40415,0.5803144909052258,0.5650484999813857,0.5668984625918551,0.33346728992777935,64,0,0.0,0,0.0,40.00447928331467,,,,,,
crop4_full,893,35640,0.8316947564156095,0.5849319229292764,0.5926363875570627,0.34311641096105105,64,0,0.0,0,0.0,34.608062709966404,,,,,,
repeat4_384,893,249886,0.1196424796446978,0.1074975860917698,0.043247584822563814,0.015743747536670894,64,0,0.0,0,0.0,277.518477043673,92872.0,104.0,1908.68763012305,1898.9789000042947,2015.7283000007737,1312.505859375
repeat4_768,893,104105,0.47387243029688786,0.42360650246971066,0.40084294098619305,0.2231766334303459,64,0,0.0,0,0.0,111.20828667413214,25004.0,28.0,655.2616480405268,634.1928999900119,787.2480599995469,1312.47705078125
crop4_384,893,253474,0.33290663085295763,0.23482467566496448,0.16221124347750837,0.07030288264284053,64,13,0.203125,13,0.203125,279.6763717805151,92872.0,104.0,2030.5151237401672,1935.7062000053702,2667.0366200007265,1312.47314453125
crop4_768,893,142806,0.5157696985319724,0.43460020014249084,0.41024976878382535,0.235957581420495,64,14,0.21875,14,0.21875,154.61702127659575,25004.0,28.0,654.1089910415567,640.2999999991152,740.5287600005977,1312.4697265625
