variant,target_fp_per_image,threshold_selected_on_policy,policy_recall,policy_fp_per_image,evaluation_recall,evaluation_fp_per_image,evaluation_true_positives,evaluation_false_positives
altitude,0.1,0.7531974882782179,0.1999166145507609,0.0996640537513997,0.2112757919209532,0.0402561756633119,1454,44
altitude,0.25,0.6588669818981866,0.271211173650198,0.2497200447928331,0.2720139494333042,0.1354071363220494,1872,148
altitude,0.5,0.5499181426231659,0.3548050865124036,0.4994400895856662,0.3993025283347864,0.4254345837145471,2748,465
altitude,1.0,0.4127592836329306,0.463831561392537,1.0,0.5300784655623365,1.0494053064958828,3648,1147
altitude_gimbal,0.1,0.8602006674576257,0.1805294976026683,0.0996640537513997,0.1928218541121767,0.0521500457456541,1327,57
altitude_gimbal,0.25,0.7496195156080271,0.2539086929330831,0.2497200447928331,0.2457134553908747,0.1381518755718206,1691,151
altitude_gimbal,0.5,0.6361019868258976,0.3116531165311653,0.4994400895856662,0.3076140656785818,0.3119853613906679,2117,341
altitude_gimbal,1.0,0.5083894568276681,0.4152595372107567,1.0,0.4197907585004359,0.7154620311070449,2889,782
class_logistic,0.1,0.7493441901130184,0.1994996873045653,0.0996640537513997,0.2124382446963092,0.041171088746569,1462,45
class_logistic,0.25,0.6544880418671466,0.2707942464040025,0.2497200447928331,0.2752106945655332,0.1427264409881061,1894,156
class_logistic,0.5,0.5461386452851359,0.3556389410047946,0.4994400895856662,0.4026445800639349,0.4373284537968893,2771,478
class_logistic,1.0,0.4099827960831759,0.4627892432770482,1.0,0.5319674513222901,1.059469350411711,3661,1158
full_metadata,0.1,0.8751093829330712,0.1924119241192411,0.0996640537513997,0.2019761697181052,0.0823421774931381,1390,90
full_metadata,0.25,0.7743658760101133,0.2659995830727538,0.2497200447928331,0.2515257192676547,0.1784080512351326,1731,195
full_metadata,0.5,0.6614888134856454,0.3277048155096935,0.4994400895856662,0.3047079337401918,0.3577310155535224,2097,391
full_metadata,1.0,0.5367560073493697,0.4204711277882009,1.0,0.3916012786980529,0.716376944190302,2695,783
global_logistic,0.1,0.7212421133598206,0.2380654575776527,0.0996640537513997,0.2268235977913397,0.0420860018298261,1561,46
global_logistic,0.25,0.6397936030446776,0.3108192620387742,0.2497200447928331,0.2861086893344958,0.1482159194876486,1969,162
global_logistic,0.5,0.538856722456463,0.3927454659161976,0.4994400895856662,0.4072943911653589,0.4226898444647758,2803,462
global_logistic,1.0,0.4119000581518251,0.5061496768813842,1.0,0.5415576867189771,1.0155535224153704,3727,1110
raw,0.1,0.7017635703086853,0.2380654575776527,0.0996640537513997,0.2268235977913397,0.0420860018298261,1561,46
raw,0.25,0.6211246848106384,0.3108192620387742,0.2497200447928331,0.2861086893344958,0.1482159194876486,1969,162
raw,0.5,0.5229954719543457,0.3927454659161976,0.4994400895856662,0.4072943911653589,0.4226898444647758,2803,462
raw,1.0,0.4013839364051819,0.5061496768813842,1.0,0.5415576867189771,1.0155535224153704,3727,1110
