variant,ece,mce,brier,nll
raw,0.0222400483626571,0.1827252073852336,0.0423810540538053,0.1480916023476823
global_logistic,0.0208456185497265,0.1766785358879529,0.0418939037039238,0.1469131137835536
class_logistic,0.0223686825239433,0.1357996438465221,0.0440748022823335,0.1578974214920899
altitude,0.0223529292945506,0.1334722052720283,0.0440973236202984,0.1581205918483476
altitude_gimbal,0.0140962172637222,0.0929277075954768,0.046375732938027,0.1607239430690913
full_metadata,0.0112336930338833,0.0900025955129711,0.0481091813719329,0.1648546161654798
