variant,ece,mce,brier,nll
raw,0.0262867194606257,0.1694702264929768,0.0453661414595187,0.156298869663763
global_logistic,0.0262388445567759,0.1250790753156817,0.044539663518369,0.154918780153914
class_logistic,0.0228316012178312,0.1725618142752928,0.0477921698960448,0.1637481533315023
altitude,0.0197112133242582,0.1521431798447147,0.0475878591961724,0.1644777032163989
altitude_gimbal,0.0148085805568611,0.1779683596578688,0.0494913842026959,0.1669170055195802
full_metadata,0.0149725864379183,0.1712697237363537,0.0495731161023564,0.1671483207202563
