dimension,slice,variant,target_fp_per_image,threshold_selected_on_policy,images,ground_truth,true_positives,false_positives,recall,fp_per_image
source_role,policy_source_seen,full_metadata,0.1,0.9120168720383912,186,1049,222,3,0.21163012392755,0.0161290322580645
source_role,policy_source_seen,full_metadata,0.25,0.852722995511616,186,1049,233,13,0.2221163012392755,0.0698924731182795
source_role,policy_source_seen,full_metadata,0.5,0.7052146216155816,186,1049,275,47,0.2621544327931363,0.2526881720430107
source_role,policy_source_seen,full_metadata,1.0,0.5465624017019711,186,1049,369,165,0.3517635843660629,0.8870967741935484
source_role,policy_source_seen,global_logistic,0.1,0.7710469065079378,186,1049,270,10,0.2573879885605338,0.053763440860215
source_role,policy_source_seen,global_logistic,0.25,0.6770543729960026,186,1049,296,46,0.2821734985700667,0.2473118279569892
source_role,policy_source_seen,global_logistic,0.5,0.5729783772045078,186,1049,376,136,0.3584366062917063,0.7311827956989247
source_role,policy_source_seen,global_logistic,1.0,0.4407316130418791,186,1049,473,243,0.4509056244041944,1.3064516129032258
source_role,policy_source_seen,raw,0.1,0.7389642596244812,186,1049,270,10,0.2573879885605338,0.053763440860215
source_role,policy_source_seen,raw,0.25,0.6338585019111633,186,1049,296,46,0.2821734985700667,0.2473118279569892
source_role,policy_source_seen,raw,0.5,0.5214297771453857,186,1049,376,136,0.3584366062917063,0.7311827956989247
source_role,policy_source_seen,raw,1.0,0.3854575455188751,186,1049,473,243,0.4509056244041944,1.3064516129032258
