variant,target_fp_per_image,original_evaluation_recall,stable_evaluation_recall,stable_minus_original,stable_evaluation_fp_per_image
altitude,0.5,0.3993025283347864,0.4043882592269689,0.005085730892182505,0.2982616651418115
altitude_gimbal,0.5,0.3076140656785818,0.3237430979366463,0.016129032258064502,0.2058554437328453
class_logistic,0.5,0.4026445800639349,0.4665794827085149,0.06393490264458002,0.4565416285452882
full_metadata,0.5,0.3047079337401918,0.3238884045335658,0.019180470793374038,0.2095150960658737
global_logistic,0.5,0.4072943911653589,0.5190351641964546,0.11174077303109564,0.5434583714547118
raw,0.5,0.4072943911653589,0.5190351641964546,0.11174077303109564,0.5434583714547118
