variant,metric,original,stable_noamp,stable_minus_original,stable_minus_raw,bootstrap_ci_2.5,bootstrap_ci_97.5,bootstrap_status_vs_raw
raw,ece,0.0222400483626571,0.0262867194606257,0.0040466710979686,0.0,,,reference
raw,brier,0.0423810540538053,0.0453661414595187,0.0029850874057133978,0.0,,,reference
raw,nll,0.1480916023476823,0.156298869663763,0.008207267316080707,0.0,,,reference
global_logistic,ece,0.0208456185497265,0.0262388445567759,0.0053932260070494,-4.787490384980039e-05,-0.0041879499715581,0.0019027445584411,inconclusive
global_logistic,brier,0.0418939037039238,0.044539663518369,0.0026457598144452033,-0.0008264779411496989,-0.0016049720483919,-4.6380037430057046e-05,better_than_raw
global_logistic,nll,0.1469131137835536,0.154918780153914,0.008005666370360404,-0.0013800895098489974,-0.0032384198007672,0.0005238859659631,inconclusive
class_logistic,ece,0.0223686825239433,0.0228316012178312,0.00046291869388790166,-0.0034551182427945,-0.0054729038676688,0.0013681838033616,inconclusive
class_logistic,brier,0.0440748022823335,0.0477921698960448,0.003717367613711303,0.0024260284365261037,-0.0006656615304392,0.0065705117946516,inconclusive
class_logistic,nll,0.1578974214920899,0.1637481533315023,0.005850731839412399,0.007449283667739309,-0.0021473126787092,0.0194403573402236,inconclusive
altitude,ece,0.0223529292945506,0.0197112133242582,-0.0026417159702924013,-0.006575506136367502,-0.0082973925056013,-0.0011801702484201,better_than_raw
altitude,brier,0.0440973236202984,0.0475878591961724,0.003490535575874004,0.0022217177366537014,-0.0010626767212065,0.0067862343556603,inconclusive
altitude,nll,0.1581205918483476,0.1644777032163989,0.00635711136805131,0.008178833552635906,-0.0018409750878694,0.0216206602713497,inconclusive
altitude_gimbal,ece,0.0140962172637222,0.0148085805568611,0.0007123632931389009,-0.0114781389037646,-0.0163715228316057,-0.0033929192276111,better_than_raw
altitude_gimbal,brier,0.046375732938027,0.0494913842026959,0.003115651264668902,0.0041252427431772015,0.000527610752756,0.009292991885161,worse_than_raw
altitude_gimbal,nll,0.1607239430690913,0.1669170055195802,0.006193062450488895,0.010618135855817196,0.0010012158224158,0.0246790916423325,worse_than_raw
full_metadata,ece,0.0112336930338833,0.0149725864379183,0.003738893404035,-0.0113141330227074,-0.0165681079641007,-0.0035422155630841,better_than_raw
full_metadata,brier,0.0481091813719329,0.0495731161023564,0.0014639347304234995,0.004206974642837702,0.0005376687203554,0.0094540391779253,worse_than_raw
full_metadata,nll,0.1648546161654798,0.1671483207202563,0.0022937045547764823,0.010849451056493292,0.0010754274848055,0.0251335118716126,worse_than_raw
