epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4790.11,1.45059,0.61843,0.82882,0.6149,0.51305,0.5163,0.26393,1.83403,0.8375,0.84033,0.000660045,0.000660045,0.000660045
43,4903.99,1.46439,0.6246,0.82748,0.61233,0.5091,0.5227,0.26934,1.83746,0.84161,0.84812,0.000649046,0.000649046,0.000649046
44,5013.81,1.44107,0.61015,0.82586,0.62327,0.49873,0.51527,0.26346,1.81102,0.83147,0.83374,0.000638047,0.000638047,0.000638047
45,5128.11,1.45106,0.61339,0.82944,0.63094,0.5096,0.52518,0.2686,1.81646,0.82015,0.8395,0.000627048,0.000627048,0.000627048
46,5240.2,1.44986,0.61002,0.82532,0.82729,0.50902,0.52591,0.27078,1.8456,0.83591,0.84879,0.000616049,0.000616049,0.000616049
47,5355.76,1.43452,0.60715,0.82625,0.82968,0.52075,0.53501,0.27316,1.82187,0.80429,0.83809,0.000605051,0.000605051,0.000605051
48,5467.82,1.44425,0.60878,0.8254,0.8212,0.52032,0.53258,0.27082,1.81873,0.81202,0.83859,0.000594052,0.000594052,0.000594052
49,5582.01,1.43253,0.6057,0.824,0.82399,0.52,0.53463,0.27183,1.80632,0.81651,0.83707,0.000583053,0.000583053,0.000583053
50,5696.01,1.41777,0.59938,0.8255,0.62247,0.50941,0.52784,0.27294,1.84852,0.85653,0.85386,0.000572054,0.000572054,0.000572054
51,5809.43,1.41191,0.59872,0.82196,0.84449,0.51855,0.54145,0.27727,1.7955,0.77858,0.83467,0.000561055,0.000561055,0.000561055
52,5924.76,1.4066,0.59438,0.82142,0.82834,0.50724,0.52821,0.27517,1.83483,0.81278,0.85288,0.000550056,0.000550056,0.000550056
53,6047.66,1.41221,0.59819,0.82224,0.83197,0.50539,0.53013,0.27563,1.81143,0.80592,0.83459,0.000539057,0.000539057,0.000539057
54,6161.56,1.40705,0.59253,0.82143,0.84019,0.52008,0.53828,0.27704,1.80709,0.77451,0.83509,0.000528058,0.000528058,0.000528058
55,6276.92,1.39683,0.58871,0.81822,0.83366,0.51967,0.53861,0.27548,1.82851,0.80009,0.83713,0.000517059,0.000517059,0.000517059
56,6396.02,1.39279,0.58713,0.82155,0.83559,0.52136,0.54063,0.27992,1.79948,0.77638,0.83613,0.00050606,0.00050606,0.00050606
57,6512.09,1.39084,0.58552,0.8176,0.83507,0.51286,0.52629,0.27474,1.82142,0.79359,0.83814,0.000495062,0.000495062,0.000495062
58,6628.34,1.38704,0.58103,0.81689,0.82427,0.51427,0.52769,0.27079,1.8282,0.80909,0.83967,0.000484063,0.000484063,0.000484063
59,6744.7,1.37689,0.57628,0.81647,0.84554,0.51319,0.53549,0.27267,1.84983,0.80057,0.84305,0.000473064,0.000473064,0.000473064
60,6855.96,1.36604,0.57508,0.81593,0.82755,0.50774,0.53152,0.27014,1.84565,0.81197,0.84154,0.000462065,0.000462065,0.000462065
61,6973.06,1.37147,0.57412,0.81932,0.8251,0.5218,0.5407,0.27586,1.8273,0.78604,0.83936,0.000451066,0.000451066,0.000451066
62,7085.55,1.36458,0.57206,0.81769,0.81697,0.52745,0.53372,0.27415,1.84761,0.79772,0.83886,0.000440067,0.000440067,0.000440067
63,7191.86,1.36315,0.57164,0.81524,0.61773,0.51717,0.53546,0.27752,1.83484,0.80419,0.84182,0.000429068,0.000429068,0.000429068
64,7292.41,1.35948,0.56997,0.81705,0.81999,0.51893,0.52898,0.27153,1.83356,0.81281,0.84012,0.000418069,0.000418069,0.000418069
65,7410.52,1.36494,0.56913,0.81616,0.81928,0.50229,0.5302,0.27328,1.837,0.81706,0.83785,0.00040707,0.00040707,0.00040707
66,7536.36,1.35301,0.56873,0.81546,0.61249,0.52596,0.53902,0.27632,1.83351,0.79191,0.84315,0.000396071,0.000396071,0.000396071
67,7667.24,1.35787,0.56672,0.81274,0.81133,0.51328,0.53255,0.27347,1.82418,0.8049,0.84071,0.000385073,0.000385073,0.000385073
68,7806.56,1.34879,0.56084,0.81532,0.84544,0.51575,0.54077,0.27615,1.79782,0.76687,0.83695,0.000374074,0.000374074,0.000374074
69,7950.42,1.34042,0.55905,0.81486,0.81131,0.51358,0.5307,0.2737,1.81919,0.80488,0.83981,0.000363075,0.000363075,0.000363075
70,8080.64,1.33926,0.55474,0.81382,0.63364,0.51069,0.53517,0.27502,1.83591,0.79556,0.84324,0.000352076,0.000352076,0.000352076
71,8214.08,1.33453,0.55653,0.81218,0.82958,0.511,0.53351,0.27634,1.81339,0.78576,0.84205,0.000341077,0.000341077,0.000341077
72,8340.95,1.33007,0.55476,0.81301,0.83781,0.50727,0.5394,0.27884,1.80144,0.77513,0.83948,0.000330078,0.000330078,0.000330078
73,8465.92,1.32495,0.55143,0.81162,0.82654,0.51522,0.53005,0.2746,1.82162,0.79951,0.8426,0.000319079,0.000319079,0.000319079
74,8610.46,1.32138,0.55026,0.80969,0.82665,0.51701,0.52828,0.27309,1.82107,0.80097,0.84359,0.00030808,0.00030808,0.00030808
75,8745.63,1.32654,0.54847,0.80775,0.81995,0.5199,0.52866,0.27502,1.82365,0.79821,0.84236,0.000297081,0.000297081,0.000297081
76,8870.1,1.30277,0.54222,0.81088,0.82777,0.52467,0.53423,0.27591,1.81641,0.78939,0.84239,0.000286083,0.000286083,0.000286083
