epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2135.77,1.48101,0.62542,0.825,0.78046,0.49233,0.49948,0.25083,1.8337,0.87428,0.83561,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2314.12,1.47226,0.61815,0.82503,0.79429,0.4859,0.47751,0.24351,1.82926,0.89944,0.8392,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2507.44,1.4654,0.61792,0.82421,0.57983,0.46202,0.48182,0.24072,1.85083,0.89447,0.84271,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2671.27,1.46525,0.61313,0.8192,0.8382,0.50398,0.53258,0.27115,1.8072,0.81452,0.83325,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2829.9,1.45265,0.6086,0.82175,0.60625,0.51339,0.52937,0.27089,1.78969,0.80451,0.83302,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3001.47,1.4547,0.61212,0.8225,0.79283,0.50776,0.49738,0.25362,1.867,0.93708,0.84443,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3154.78,1.44602,0.60847,0.81816,0.58845,0.47073,0.47994,0.24618,1.8651,0.90603,0.85321,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3315.22,1.44364,0.60456,0.81964,0.60352,0.49043,0.49839,0.25215,1.83843,0.86636,0.8433,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3482.68,1.42952,0.59851,0.8225,0.61184,0.509,0.51772,0.25894,1.83106,0.83798,0.83681,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3639.38,1.41982,0.59294,0.81782,0.60082,0.48512,0.47927,0.24843,1.87245,0.89215,0.84842,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
