resolution,target_ground_truth,same_class_localized,wrong_class_localized,no_localized_prediction,target_class_predictions,target_prediction_images,target_prediction_max_score
640,64,0,0,64,12,10,0.008802900090813637
1280,64,0,0,64,6,6,0.015549947507679462
