metric,natural_640,repeat4_640,natural_1280,repeat4_1280,exposure_effect_640,exposure_effect_1280,resolution_effect_natural,resolution_effect_repeat4,difference_in_differences
precision,0.8360336733430762,0.6098328341618452,0.8714144156541094,0.85654941508221,-0.22620083918123102,-0.014865000571899323,0.035380742311033164,0.24671658092036486,0.2113358386093317
recall,0.5212082100302625,0.5207471920970509,0.6356771089027857,0.6128331798055052,-0.0004610179332116271,-0.022843929097280502,0.1144688988725232,0.09208598770845433,-0.022382911164068875
map50,0.5406797465668641,0.5279936403038563,0.6484362828136673,0.6365024444153841,-0.012686106263007813,-0.011933838398283214,0.10775653624680315,0.10850880411152775,0.0007522678647245984
map50_95,0.27981057243014573,0.2739212106195932,0.3657045879633808,0.3569022845850235,-0.005889361810552551,-0.008802303378357301,0.08589401553323506,0.08298107396543031,-0.00291294156780475
