metric,natural_640,repeat4_640,natural_1280,delta_repeat4_minus_natural640,delta_natural1280_minus_natural640
precision,0.8360336733430762,0.6098328341618452,0.8714144156541094,-0.22620083918123102,0.035380742311033164
recall,0.5212082100302625,0.5207471920970509,0.6356771089027857,-0.0004610179332116271,0.1144688988725232
map50,0.5406797465668641,0.5279936403038563,0.6484362828136673,-0.012686106263007813,0.10775653624680315
map50_95,0.27981057243014573,0.2739212106195932,0.3657045879633808,-0.005889361810552551,0.08589401553323506
