metric,natural_640,repeat4_640,delta_repeat4_minus_natural
precision,0.8360336733430762,0.6098328341618452,-0.22620083918123102
recall,0.5212082100302625,0.5207471920970509,-0.0004610179332116271
map50,0.5406797465668641,0.5279936403038563,-0.012686106263007813
map50_95,0.27981057243014573,0.2739212106195932,-0.005889361810552551
