epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12758.3,1.29685,0.62251,0.92941,0.87117,0.62625,0.6446,0.36064,1.5721,0.74414,0.97044,0.000660045,0.000660045,0.000660045
43,13074.1,1.28911,0.62199,0.92583,0.85943,0.63462,0.64635,0.36238,1.60142,0.74287,0.97956,0.000649046,0.000649046,0.000649046
44,13392.1,1.28487,0.61241,0.92442,0.86384,0.63195,0.64853,0.35975,1.60939,0.75493,0.97917,0.000638047,0.000638047,0.000638047
45,13714.7,1.28699,0.61388,0.9239,0.85619,0.62674,0.64403,0.36082,1.60018,0.75686,0.98175,0.000627048,0.000627048,0.000627048
46,14035.6,1.27129,0.60093,0.92229,0.86485,0.63294,0.64641,0.36541,1.59049,0.74078,0.98265,0.000616049,0.000616049,0.000616049
47,14348.4,1.27801,0.60722,0.92253,0.86338,0.62229,0.64122,0.36363,1.59175,0.73353,0.97675,0.000605051,0.000605051,0.000605051
48,14648.3,1.27408,0.60682,0.92377,0.8677,0.63522,0.64336,0.36207,1.61142,0.7455,0.98064,0.000594052,0.000594052,0.000594052
49,14946,1.256,0.59304,0.91657,0.87137,0.63576,0.64827,0.3656,1.57364,0.73865,0.97535,0.000583053,0.000583053,0.000583053
50,15241.7,1.25593,0.5931,0.9206,0.66574,0.62827,0.63628,0.35602,1.59786,0.74812,0.97915,0.000572054,0.000572054,0.000572054
51,15538.4,1.25442,0.59394,0.9182,0.85657,0.63218,0.63568,0.35744,1.61198,0.74136,0.98342,0.000561055,0.000561055,0.000561055
52,15828,1.25777,0.59028,0.91689,0.85035,0.62745,0.63837,0.35549,1.60625,0.73945,0.97944,0.000550056,0.000550056,0.000550056
53,16121.8,1.24888,0.58671,0.915,0.85332,0.62806,0.63704,0.35772,1.61085,0.75072,0.98171,0.000539057,0.000539057,0.000539057
54,16418.2,1.24088,0.58514,0.9146,0.85161,0.62204,0.63673,0.35693,1.60328,0.74997,0.98015,0.000528058,0.000528058,0.000528058
55,16717.4,1.24179,0.58428,0.9151,0.86514,0.6275,0.63625,0.35892,1.58866,0.75478,0.97487,0.000517059,0.000517059,0.000517059
56,17019.7,1.23147,0.58139,0.91127,0.8459,0.63074,0.63677,0.35806,1.57231,0.75068,0.97189,0.00050606,0.00050606,0.00050606
57,17326.8,1.22379,0.57394,0.90937,0.86618,0.63078,0.64479,0.35991,1.59706,0.74379,0.98181,0.000495062,0.000495062,0.000495062
58,17640,1.22527,0.57966,0.9139,0.86143,0.64636,0.6478,0.3647,1.57596,0.74737,0.97373,0.000484063,0.000484063,0.000484063
59,17953.9,1.21955,0.57656,0.91039,0.85908,0.63375,0.64366,0.36078,1.60703,0.75082,0.9849,0.000473064,0.000473064,0.000473064
60,18271.2,1.22224,0.57086,0.9102,0.86314,0.63793,0.64512,0.36,1.60639,0.75609,0.98782,0.000462065,0.000462065,0.000462065
61,18574.6,1.2212,0.56814,0.90784,0.86071,0.62825,0.64408,0.35746,1.6217,0.75372,0.98544,0.000451066,0.000451066,0.000451066
62,18877.2,1.20923,0.56826,0.91058,0.85346,0.627,0.64169,0.35845,1.60912,0.7521,0.98495,0.000440067,0.000440067,0.000440067
63,19189.9,1.20746,0.56616,0.90548,0.86169,0.6229,0.64236,0.36079,1.58423,0.74194,0.97927,0.000429068,0.000429068,0.000429068
64,19498.9,1.21229,0.56948,0.91041,0.85914,0.62601,0.63989,0.35947,1.58669,0.73211,0.9795,0.000418069,0.000418069,0.000418069
65,19811.4,1.20692,0.56443,0.90624,0.85029,0.6282,0.63982,0.35553,1.61437,0.73491,0.9865,0.00040707,0.00040707,0.00040707
66,20122.8,1.19324,0.56084,0.90955,0.84494,0.63435,0.64371,0.35934,1.61251,0.74142,0.984,0.000396071,0.000396071,0.000396071
67,20427.2,1.201,0.56036,0.90718,0.85813,0.62529,0.63669,0.35945,1.60419,0.74458,0.98064,0.000385073,0.000385073,0.000385073
68,20731.5,1.18077,0.54885,0.90206,0.85319,0.61524,0.62994,0.35536,1.60621,0.75194,0.98031,0.000374074,0.000374074,0.000374074
69,21030.7,1.18187,0.54612,0.89966,0.84697,0.62331,0.62927,0.35429,1.59815,0.73939,0.98153,0.000363075,0.000363075,0.000363075
