condition,tile_size,target_ground_truth,target_predictions,true_positives_iou_0_50,target_recall_iou_0_50,target_false_positives,target_false_positives_per_image,background_fraction,other_class_fraction,residual_neighbor_fraction,grid_boundary_crossing_fraction,fp_share_on_target_negative_images,top_10_percent_source_group_fp_share
repeat4_384,384,64,62392,0,0.0,62392,69.86786114221725,0.9995512245159636,0.0004487754840364149,0.5539011411719451,0.13815873829978204,0.9995672522118221,0.9615335299397358
repeat4_768,768,64,1596,0,0.0,1596,1.7872340425531914,0.9492481203007519,0.05012531328320802,0.22681704260651628,0.05137844611528822,0.9993734335839599,0.9855889724310777
crop4_384,384,64,17886,13,0.203125,17873,20.014557670772675,0.7313825323113076,0.2666592066245174,0.6138309181446875,0.5333743635651541,0.9035416550103508,0.3527107928159794
crop4_768,768,64,4272,14,0.21875,4258,4.768197088465845,0.5864255519023015,0.40676373884452793,0.5011742602160639,0.33959605448567404,0.8381869422263973,0.3642555190230155
