epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,517.235,1.74907,2.43914,1.00954,0.59483,0.54314,0.56972,0.29255,1.68801,1.9797,0.97939,0.00999446,0.00333149,0.00999446,0.00333149,0.00999446,0.00333149,0.00999446,0.00333149
2,921.393,1.66989,1.3358,1.00256,0.80844,0.56978,0.5869,0.2973,1.74303,1.29799,1.00347,0.0197965,0.00659884,0.0197965,0.00659884,0.0197965,0.00659884,0.0197965,0.00659884
3,1276.81,1.69517,1.07678,1.00419,0.76766,0.5455,0.53933,0.28128,1.72934,1.18376,1.01023,0.0294006,0.00980019,0.0294006,0.00980019,0.0294006,0.00980019,0.0294006,0.00980019
4,1626.51,1.67319,0.95442,1.00999,0.81862,0.5833,0.60033,0.31656,1.67122,0.99322,1.00821,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1978.4,1.62193,0.8836,0.99908,0.86193,0.62263,0.62748,0.33342,1.63467,0.87856,0.98991,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2328.62,1.58504,0.84892,0.99141,0.84644,0.57417,0.60916,0.33445,1.61482,0.86402,0.99031,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2698.39,1.55556,0.81016,0.98348,0.85069,0.60022,0.6203,0.33285,1.62731,0.84858,0.98838,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3072.2,1.52355,0.78623,0.97633,0.63311,0.54291,0.59435,0.32707,1.61093,0.86582,0.99188,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3416.92,1.51211,0.77634,0.97331,0.6343,0.58403,0.60417,0.3373,1.6041,0.83556,0.99111,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3754.79,1.4771,0.75784,0.96482,0.65779,0.61411,0.63311,0.34099,1.61746,0.84116,0.98582,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4082.01,1.45414,0.73655,0.96026,0.865,0.58159,0.61925,0.33849,1.61447,0.813,0.99203,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4418.89,1.4498,0.72696,0.95452,0.64773,0.63267,0.65127,0.3522,1.62892,0.80989,0.98712,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4762.21,1.43967,0.72364,0.95621,0.81706,0.61303,0.61403,0.33709,1.60676,0.82181,0.98662,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5107.4,1.42377,0.71229,0.95251,0.6447,0.61518,0.62929,0.35153,1.58064,0.82638,0.97853,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5452.53,1.40482,0.70154,0.94522,0.82045,0.59268,0.61141,0.33776,1.63017,0.829,0.98352,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5803.12,1.39756,0.68767,0.94531,0.84542,0.61131,0.63091,0.3486,1.612,0.80423,0.98234,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6154.09,1.38194,0.68286,0.94031,0.63826,0.59467,0.62535,0.3452,1.65695,0.81903,0.99523,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6510.24,1.37014,0.67533,0.93862,0.65119,0.62104,0.63295,0.34383,1.65399,0.79793,1.00328,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6873.28,1.36199,0.6687,0.93491,0.87837,0.62844,0.63315,0.35273,1.66215,0.78354,1.01444,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7221.98,1.36638,0.66711,0.9344,0.66687,0.62855,0.63912,0.34782,1.62592,0.74897,0.99189,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7574.09,1.34884,0.66139,0.93448,0.6525,0.61108,0.6374,0.35329,1.59705,0.76664,0.99369,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7937.03,1.34068,0.65598,0.93181,0.8695,0.61541,0.6349,0.34654,1.6044,0.76481,0.98143,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,8291.29,1.34731,0.65517,0.93258,0.86365,0.60285,0.62821,0.34609,1.62712,0.79527,0.99543,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8645.24,1.32083,0.64139,0.92897,0.63381,0.60495,0.6189,0.34106,1.61329,0.77905,0.9918,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9001.45,1.32416,0.64242,0.92989,0.85941,0.62461,0.64127,0.35356,1.62847,0.76255,0.99136,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,9355.73,1.30041,0.63252,0.92436,0.83281,0.57946,0.60367,0.32965,1.60494,0.80685,0.99039,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9707.56,1.30111,0.62417,0.92457,0.83615,0.61986,0.61828,0.34106,1.6376,0.76619,0.99155,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,10075,1.29749,0.63037,0.92485,0.85064,0.61347,0.63339,0.3464,1.61029,0.74008,0.98172,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,10428.2,1.29387,0.62367,0.9225,0.86456,0.60529,0.63182,0.34928,1.59361,0.74616,0.97518,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10784.7,1.28492,0.61919,0.91873,0.8463,0.60813,0.62198,0.34452,1.62359,0.76033,0.98684,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,11144,1.27584,0.61249,0.91727,0.63615,0.58927,0.60396,0.32895,1.63505,0.76882,0.99258,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,11498.4,1.27548,0.61122,0.91884,0.65845,0.59256,0.61643,0.33672,1.62019,0.74294,0.98711,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11861.1,1.25643,0.60198,0.91069,0.85553,0.61815,0.62918,0.34644,1.59122,0.74303,0.97382,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12219,1.26485,0.60346,0.91565,0.86063,0.61851,0.63399,0.35158,1.60271,0.74155,0.98495,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12578.7,1.26697,0.60551,0.91329,0.85454,0.62704,0.6327,0.35208,1.61149,0.7472,0.99356,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12943.8,1.24372,0.592,0.9094,0.86697,0.62304,0.64382,0.35494,1.59565,0.73298,0.9799,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13298.9,1.24387,0.59376,0.90601,0.85494,0.60901,0.62459,0.3438,1.64194,0.74896,0.99121,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13665.2,1.23759,0.58761,0.90822,0.84644,0.61406,0.62792,0.34391,1.61473,0.75232,0.98138,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,14022.1,1.23817,0.58725,0.90909,0.8557,0.61227,0.63617,0.35713,1.59451,0.71915,0.98174,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14379.2,1.2292,0.58278,0.90725,0.85784,0.60729,0.63209,0.34908,1.61745,0.73691,0.99045,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14738.7,1.22365,0.57892,0.90617,0.85548,0.61124,0.63988,0.35436,1.61149,0.72457,0.99198,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15096.6,1.22762,0.58227,0.90888,0.84248,0.62446,0.6219,0.34382,1.59673,0.74771,0.98881,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15464.9,1.22719,0.57965,0.90535,0.86209,0.61087,0.63698,0.3529,1.58406,0.71864,0.97157,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15824.2,1.2125,0.57304,0.9034,0.66129,0.61457,0.63565,0.35484,1.5966,0.73182,0.98273,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16180.9,1.20879,0.57291,0.90107,0.86666,0.60093,0.63035,0.34647,1.61582,0.73947,0.98913,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16539.4,1.20472,0.56979,0.90253,0.87769,0.61656,0.64145,0.357,1.61763,0.72598,0.9789,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16897.9,1.20398,0.56537,0.90171,0.64891,0.62085,0.63069,0.35002,1.61631,0.74694,0.98969,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17267.1,1.19121,0.56077,0.89867,0.85609,0.62015,0.63325,0.35156,1.58918,0.73426,0.9821,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17625.2,1.19176,0.56644,0.90297,0.85208,0.61463,0.63412,0.35262,1.59881,0.71982,0.98857,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17977.2,1.19452,0.56352,0.90175,0.85804,0.6205,0.63414,0.35317,1.61296,0.72008,0.9892,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18340.5,1.17076,0.55043,0.89614,0.85548,0.62998,0.64308,0.35706,1.61627,0.70184,0.99169,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18699.8,1.1829,0.55482,0.89733,0.83391,0.62165,0.63135,0.35238,1.62117,0.71633,0.98999,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19061.4,1.17212,0.54881,0.89559,0.646,0.6233,0.63658,0.35422,1.61519,0.72677,0.99381,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19418.6,1.17124,0.55188,0.8952,0.83519,0.6205,0.62782,0.34772,1.62555,0.73778,0.98957,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,19776.8,1.16069,0.5423,0.89114,0.8517,0.62136,0.63272,0.34861,1.60937,0.72672,0.9864,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,20136.9,1.15734,0.54168,0.89308,0.86054,0.62217,0.63888,0.35557,1.60696,0.72335,0.99397,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20491.6,1.16065,0.5427,0.89199,0.86049,0.62256,0.6414,0.3539,1.61773,0.71705,0.99069,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,20851.2,1.1547,0.54232,0.8907,0.84285,0.62029,0.62748,0.35069,1.60529,0.73473,0.98371,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,21201.1,1.1492,0.53934,0.89055,0.86381,0.62134,0.63494,0.35465,1.62112,0.71522,0.99268,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
